op,key,latency_ms,stale,version
write,key0005,0.00,false,33
write,key0017,0.00,false,35
write,key0019,0.00,false,24
write,key0001,0.00,false,30
write,key0000,0.00,false,35
write,key0006,0.00,false,32
write,key0008,0.00,false,28
read,key0017,0.00,true,26
write,key0011,0.00,false,20
write,key0009,0.00,false,30
write,key0014,0.00,false,35
write,key0001,0.00,false,31
write,key0009,0.00,false,31
write,key0008,0.00,false,29
write,key0000,0.00,false,36
write,key0002,0.00,false,29
write,key0012,0.00,false,25
write,key0015,0.00,false,17
write,key0003,0.00,false,33
write,key0014,0.00,false,36
write,key0001,0.00,false,32
write,key0004,0.00,false,33
write,key0013,0.00,false,23
write,key0007,0.00,false,22
write,key0003,0.00,false,34
write,key0011,0.00,false,21
write,key0014,0.00,false,37
write,key0012,0.00,false,26
write,key0007,0.00,false,23
write,key0002,0.00,false,30
write,key0014,1.00,false,38
write,key0001,0.00,false,33
write,key0001,0.00,false,34
read,key0010,0.00,true,29
write,key0016,0.00,false,34
write,key0004,0.00,false,34
write,key0001,1.00,false,36
write,key0001,1.00,false,36
write,key0003,0.00,false,35
write,key0015,1.00,false,18
write,key0005,0.00,false,34
write,key0009,0.00,false,32
write,key0012,0.00,false,27
read,key0001,0.00,true,23
write,key0004,0.00,false,35
write,key0005,0.00,false,35
write,key0009,0.00,false,33
write,key0010,0.00,false,33
read,key0015,0.00,true,14
write,key0003,0.00,false,36
write,key0004,0.00,false,36
write,key0018,0.00,false,41
read,key0006,0.00,true,29
write,key0003,0.00,false,37
write,key0003,0.00,false,38
write,key0001,0.00,false,37
write,key0007,0.00,false,24
write,key0018,0.00,false,42
write,key0001,0.00,false,38
write,key0000,0.00,false,37
write,key0011,0.00,false,22
write,key0012,0.00,false,28
read,key0008,0.00,false,29
write,key0008,1.00,false,30
write,key0000,0.00,false,38
write,key0016,0.00,false,35
write,key0012,0.00,false,29
write,key0011,0.00,false,23
read,key0008,0.00,true,29
write,key0012,0.00,false,30
write,key0006,0.00,false,33
write,key0011,1.00,false,24
write,key0015,0.00,false,19
write,key0017,0.00,false,36
write,key0009,0.00,false,34
write,key0019,0.00,false,25
write,key0016,0.00,false,36
write,key0006,0.00,false,34
write,key0010,0.00,false,34
write,key0015,0.00,false,20
write,key0000,0.00,false,39
write,key0004,0.00,false,37
write,key0015,0.00,false,21
write,key0006,0.00,false,35
write,key0004,0.00,false,38
write,key0013,0.00,false,24
read,key0019,1.00,false,25
read,key0010,0.00,true,29
write,key0007,0.00,false,25
write,key0016,0.00,false,37
write,key0007,0.00,false,26
write,key0007,0.00,false,27
write,key0002,0.00,false,31
write,key0010,0.00,false,35
write,key0011,0.00,false,25
write,key0005,0.00,false,36
write,key0017,0.00,false,37
write,key0018,1.00,false,43
write,key0018,2.00,false,44
write,key0001,2.00,false,39
write,key0008,1.00,false,31
write,key0003,2.00,false,39
read,key0018,0.00,true,41
write,key0017,0.00,false,38
write,key0010,0.00,false,36
read,key0015,0.00,true,16
write,key0002,0.00,false,32
write,key0018,0.00,false,45
write,key0011,0.00,false,26
read,key0002,0.00,true,30
write,key0019,0.00,false,26
write,key0017,0.00,false,39
write,key0010,0.00,false,37
write,key0013,0.00,false,25
