op,key,latency_ms,stale,version
write,key0006,805.00,false,10
write,key0004,805.00,false,11
write,key0010,811.00,false,20
write,key0003,808.00,false,22
write,key0003,807.00,false,22
write,key0002,811.00,false,10
write,key0019,811.00,false,19
read,key0016,2.00,false,14
read,key0001,3.00,false,18
read,key0006,3.00,false,10
write,key0001,811.00,false,17
write,key0018,811.00,false,13
read,key0017,2.00,false,17
read,key0004,3.00,false,11
read,key0008,0.00,false,12
write,key0018,808.00,false,15
write,key0018,804.00,false,15
write,key0012,807.00,false,14
write,key0017,808.00,false,19
write,key0017,808.00,false,19
write,key0006,807.00,false,12
read,key0015,2.00,false,20
write,key0002,809.00,false,11
write,key0006,809.00,false,12
write,key0012,805.00,false,14
read,key0009,5.00,false,15
read,key0008,5.00,false,13
write,key0000,806.00,false,9
write,key0000,809.00,false,10
write,key0008,814.00,false,13
write,key0018,811.00,false,16
write,key0019,813.00,false,20
write,key0012,813.00,false,15
