Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771788237,250,,Aggregated,3399.600000,0.000000,16,17,18,18,21,49,92,120,200,210,210,140797,0,16,20.760040147850464,11.089666979387403,213.3140000514686,798.1468213101132
1771788238,250,,Aggregated,3434.300000,0.000000,16,17,18,18,22,50,93,130,190,210,210,144023,0,16,20.88388691088557,11.089666979387403,213.3140000514686,798.0387646417586
1771788239,250,,Aggregated,3461.500000,0.000000,16,17,18,18,21,49,93,130,190,210,210,147576,0,16,20.807388301172526,11.089666979387403,213.3140000514686,797.8638803057407
1771788240,250,,Aggregated,3461.700000,0.000000,16,17,18,18,21,49,93,120,190,210,210,151152,0,16,20.801952613884964,11.089666979387403,213.3140000514686,798.5654903673123
1771788241,250,,Aggregated,3475.100000,0.000000,16,17,18,18,21,48,92,120,190,210,210,154837,0,16,20.724036800110298,11.089666979387403,213.3140000514686,799.0050504724323
1771788242,250,,Aggregated,3462.200000,0.000000,16,17,18,18,23,52,96,130,200,310,440,157133,0,16,21.262320277419168,11.089666979387403,442.4553329590708,798.9887611131971
1771788243,250,,Aggregated,3466.200000,0.000000,16,17,18,18,23,53,96,130,200,310,440,160460,0,16,21.32330483168687,11.089666979387403,442.4553329590708,798.9543126012713
1771788244,250,,Aggregated,3467.000000,0.000000,16,17,18,18,23,52,95,130,200,310,440,164231,0,16,21.21482245999425,11.089666979387403,442.4553329590708,799.0879127570313
1771788245,250,,Aggregated,3391.000000,0.000000,16,17,18,18,23,52,95,130,200,310,440,167560,0,16,21.250394472917964,11.089666979387403,442.4553329590708,799.0153019813798
1771788246,250,,Aggregated,3361.500000,0.000000,16,17,18,18,23,53,95,130,200,310,440,171111,0,16,21.248339090511042,11.089666979387403,442.4553329590708,799.4353022307157
1771788247,250,,Aggregated,3416.800000,0.000000,16,17,18,18,24,52,94,130,200,310,440,174352,0,16,21.2677079941741,11.089666979387403,442.4553329590708,799.235730017436
1771788248,250,,Aggregated,3401.500000,0.000000,16,17,18,18,24,52,94,130,200,310,440,177347,0,16,21.32499442357085,11.089666979387403,442.4553329590708,799.5049986749142
